Noise,True_V,Primary_V,Winner,Rg_meas,Yg100,Yg210,Ym210,V_all
-597.0505701832946,0.02003494938251798,-0.03623835929236803,Nearest_Fallback,5.644769094645978,330.94831013743897,-2797.562330547532,4074.482732563359,[-0.03623835929236803]
-597.0505701832946,0.02144425599735135,,Nearest_Fallback,5.711306396307555,684.7551966409759,157.41768819448396,3120.4853366957054,[nan]
-597.0505701832946,0.022901459350823064,0.03532627513285337,Unique_Solution,5.716051504018755,595.5482796715007,227.54464690769,1009.0207680992728,[0.03532627513285337]
-597.0505701832946,0.024406559442933143,0.028506803497820025,Unique_Solution,5.77973946021976,580.59441524428,-87.81470425260768,3554.7494879153023,[0.028506803497820025]
-597.0505701832946,0.025959556273681562,-0.030256669056678193,Nearest_Fallback,5.8099216844889305,357.3479887690691,-2000.2066866827636,6616.785926678688,[-0.030256669056678193]
-597.0505701832946,0.02756044984306834,0.008545362521903884,Unique_Solution,5.874762290371406,523.7933100100923,-186.28260072768015,-4274.444255229138,[0.008545362521903884]
-597.0505701832946,0.029209240151093475,0.06566155590381892,Consensus_Selection,5.935764372818019,634.0224335612086,150.92332488726996,204.62815971993936,"[0.06566155590381892, 0.25201440027676497]"
-597.0505701832946,0.030905927197756953,0.007860442240020369,Unique_Solution,5.983567838932406,521.358924719147,-347.92009718123734,4804.233247967574,[0.007860442240020369]
-597.0505701832946,0.03265051098305878,,Nearest_Fallback,6.054921158059239,772.5200635194302,820.7770555258915,3292.3909112358697,[nan]
-597.0505701832946,0.03444299150699897,0.0005305925000572472,Nearest_Fallback,6.093148391163103,492.1852908228968,-649.8682052042127,3561.514315037666,[0.0005305925000572472]
-597.0505701832946,0.0362833687695775,0.04307341991928661,Unique_Solution,6.174863614126798,608.4549209618261,-50.265149939033925,9346.320794661875,[0.04307341991928661]
-597.0505701832946,0.0381716427707944,,Nearest_Fallback,6.207236513241131,733.6902201403151,609.0317275331718,5775.360053095975,[nan]
-597.0505701832946,0.04010781351064963,0.18343347885210484,Nearest_Fallback,6.27759002239022,662.149495573257,5.135633644767746,2777.247305052295,[0.18343347885210484]
-597.0505701832946,0.04209188098914323,0.018658220919383284,Unique_Solution,6.325564683578093,557.1919221271278,-258.6925629478317,4923.905430531772,[0.018658220919383284]
-597.0505701832946,0.044123845206275186,-0.026887634549712654,Nearest_Fallback,6.3865236820374145,373.1039425028537,-2107.82803583913,5661.83130666388,[-0.026887634549712654]
-597.0505701832946,0.04620370616204548,0.003909367579661934,Unique_Solution,6.438477979503856,507.2907881431115,-715.116952888223,4339.046677088045,[0.003909367579661934]
-597.0505701832946,0.04833146385645412,,Nearest_Fallback,6.521458356680161,746.6555625407607,511.9765081646216,5599.2566564706185,[nan]
-597.0505701832946,0.050507118289501135,0.022891904994650134,Unique_Solution,6.591829604141776,569.3697715758145,-348.5872855633954,3462.7215120272144,[0.022891904994650134]
-597.0505701832946,0.05273066946118648,0.007547455622790088,Unique_Solution,6.657346438506972,520.9564056675855,-498.3401218094074,4700.005185965332,[0.007547455622790088]
-597.0505701832946,0.05500211737151018,0.009433095253843062,Unique_Solution,6.719804634958672,527.9517482893671,-869.1601777916808,5205.79091689353,[0.009433095253843062]
-597.0505701832946,0.05732146202047223,0.15980036798103842,Nearest_Fallback,6.78503471217354,657.2593833323803,54.21747739046653,6130.9815395369615,[0.15980036798103842]
-597.0505701832946,0.05968870340807267,-0.0024138443209100763,Nearest_Fallback,6.859695649217753,480.74541447649165,-958.4283522571836,3370.384544603045,[-0.0024138443209100763]
-597.0505701832946,0.06210384153431142,0.01313024540519369,Unique_Solution,6.9348614405543305,541.8372730490742,-335.4215570734648,3984.4057610616483,[0.01313024540519369]
-597.0505701832946,0.06456687639918854,,Nearest_Fallback,6.999580724256259,782.5534847971851,410.46093498498095,3830.793370682197,[nan]
-597.0505701832946,0.067077808002704,0.008764014164106501,Unique_Solution,7.073599046844262,526.8357804481484,-802.9986206043064,4823.9070905654135,[0.008764014164106501]
-597.0505701832946,0.06963663634485784,,Nearest_Fallback,7.151948764508237,684.7691107047674,295.12025009745366,8973.886832658347,[nan]
-597.0505701832946,0.07224336142565002,,Nearest_Fallback,7.227785196118493,697.6205011707775,214.43058029679824,4515.685402007281,[nan]
-597.0505701832946,0.07489798324508051,0.25063973161265574,Consensus_Selection,7.288468822751379,637.138020011862,-183.6778392572241,2434.4898551900696,"[0.25063973161265574, 0.06685763293292171]"
-597.0505701832946,0.07760050180314944,,Nearest_Fallback,7.3775788227471315,863.1098677045858,684.4951925125075,3187.2985337409727,[nan]
-597.0505701832946,0.08035091709985664,0.005762104531002382,Unique_Solution,7.434806026005528,516.7454550557427,-976.6722412125346,4344.3010998007385,[0.005762104531002382]
-597.0505701832946,0.0831492291352022,,Nearest_Fallback,7.526688787348264,786.9515505039622,415.71961564590464,4049.6269024628104,[nan]
-597.0505701832946,0.08599543790918614,0.13779686095814062,Consensus_Selection,7.606646574040867,655.6460821824363,-172.3823496722128,4279.052919959416,"[0.13779686095814062, 0.1326511934824793]"
